,id,satno,cosparId,objectClass,mass,xSectAvg
16409,44703,44703.0,2019-072A,Payload,2400.0,9.2307
16410,44704,44704.0,2019-072B,Payload,100.0,0.1664
16411,44705,44705.0,2019-072C,Payload,60.0,0.375
16412,44706,44706.0,2019-072D,Payload,10.0,0.1264
16413,44709,44709.0,2019-073A,Payload,3060.0,13.9977
16414,44711,44711.0,2019-039N,Payload Fragmentation Debris,,
16415,44712,44712.0,2019-039P,Payload Fragmentation Debris,,
16416,44713,44713.0,2019-074A,Payload,260.0,13.5615
16417,44714,44714.0,2019-074B,Payload,260.0,13.5615
16418,44715,44715.0,2019-074C,Payload,260.0,13.5615
16419,44716,44716.0,2019-074D,Payload,260.0,13.5615
16420,44717,44717.0,2019-074E,Payload,260.0,13.5615
16421,44718,44718.0,2019-074F,Payload,260.0,13.5615
16422,44719,44719.0,2019-074G,Payload,260.0,13.5615
16423,44720,44720.0,2019-074H,Payload,260.0,13.5615
16424,44721,44721.0,2019-074J,Payload,260.0,13.5615
16425,44722,44722.0,2019-074K,Payload,260.0,13.5615
16426,44723,44723.0,2019-074L,Payload,260.0,13.5615
16427,44724,44724.0,2019-074M,Payload,260.0,13.5615
16428,44725,44725.0,2019-074N,Payload,260.0,13.5615
16429,44726,44726.0,2019-074P,Payload,260.0,13.5615
16430,44727,44727.0,2019-074Q,Payload,260.0,13.5615
16431,44729,44729.0,2019-074S,Payload,260.0,13.5615
16432,44731,44731.0,2019-074U,Payload,260.0,13.5615
16433,44732,44732.0,2019-074V,Payload,260.0,13.5615
16434,44733,44733.0,2019-074W,Payload,260.0,13.5615
16435,44734,44734.0,2019-074X,Payload,260.0,13.5615
16436,44735,44735.0,2019-074Y,Payload,260.0,13.5615
16437,44736,44736.0,2019-074Z,Payload,260.0,13.5615
16438,44737,44737.0,2019-074AA,Payload,260.0,13.5615
16439,44738,44738.0,2019-074AB,Payload,260.0,13.5615
16440,44739,44739.0,2019-074AC,Payload,260.0,13.5615
16441,44740,44740.0,2019-074AD,Payload,260.0,13.5615
16442,44741,44741.0,2019-074AE,Payload,260.0,13.5615
16443,44742,44742.0,2019-074AF,Payload,260.0,13.5615
16444,44743,44743.0,2019-074AG,Payload,260.0,13.5615
16445,44744,44744.0,2019-074AH,Payload,260.0,13.5615
16446,44746,44746.0,2019-074AK,Payload,260.0,13.5615
16447,44747,44747.0,2019-074AL,Payload,260.0,13.5615
16448,44748,44748.0,2019-074AM,Payload,260.0,13.5615
16449,44751,44751.0,2019-074AQ,Payload,260.0,13.5615
16450,44752,44752.0,2019-074AR,Payload,260.0,13.5615
16451,44753,44753.0,2019-074AS,Payload,260.0,13.5615
16452,44754,44754.0,2019-074AT,Payload,260.0,13.5615
16453,44755,44755.0,2019-074AU,Payload,260.0,13.5615
16454,44757,44757.0,2019-074AW,Payload,260.0,13.5615
16455,44758,44758.0,2019-074AX,Payload,260.0,13.5615
16456,44759,44759.0,2019-074AY,Payload,260.0,13.5615
16457,44760,44760.0,2019-074AZ,Payload,260.0,13.5615
16458,44761,44761.0,2019-074BA,Payload,260.0,13.5615
16459,44762,44762.0,2019-074BB,Payload,260.0,13.5615
16460,44763,44763.0,2019-074BC,Payload,260.0,13.5615
16461,44764,44764.0,2019-074BD,Payload,260.0,13.5615
16462,44765,44765.0,2019-074BE,Payload,260.0,13.5615
16463,44766,44766.0,2019-074BF,Payload,260.0,13.5615
16464,44767,44767.0,2019-074BG,Payload,260.0,13.5615
16465,44768,44768.0,2019-074BH,Payload,260.0,13.5615
16466,44769,44769.0,2019-074BJ,Payload,260.0,13.5615
16467,44770,44770.0,2019-074BK,Payload,260.0,13.5615
16468,44771,44771.0,2019-074BL,Payload,260.0,13.5615
16469,44772,44772.0,2019-074BM,Payload,260.0,13.5615
16470,44777,44777.0,2019-075A,Payload,230.0,0.936
16471,44779,44779.0,2019-076A,Payload,100.0,0.1664
16472,44780,44780.0,2019-076B,Payload,100.0,0.1664
16473,44781,44781.0,2019-076C,Payload,100.0,0.1664
16474,44782,44782.0,2019-076D,Payload,100.0,0.1664
16475,44783,44783.0,2019-076E,Payload,100.0,0.1664
16476,44784,44784.0,2019-076F,Rocket Body,,9.05662257167683
16477,44785,44785.0,2019-077A,Payload,70.0,0.8997
16478,44786,44786.0,2019-077B,Payload,90.0,0.8997
16479,44787,44787.0,2019-077C,Rocket Body,200.0,
